time,vehicle_id,event
2015-02-01 07:50:00+00,V15905,pickup
2015-02-01 07:50:00+00,V16477,pickup
2015-02-01 07:50:00+00,V16833,pickup
2015-02-01 07:51:00+00,V19762,dropoff
2015-02-01 07:51:00+00,V18131,dropoff
2015-02-01 07:52:00+00,V17304,dropoff
2015-02-01 07:52:00+00,V16803,dropoff
2015-02-01 07:52:00+00,V18125,dropoff
2015-02-01 07:52:00+00,V14679,pickup
2015-02-01 07:52:00+00,V19732,pickup
2015-02-01 07:53:00+00,V15319,dropoff
2015-02-01 07:53:00+00,V19575,dropoff
2015-02-01 07:53:00+00,V19047,pickup
2015-02-01 07:54:00+00,V16071,dropoff
2015-02-01 07:54:00+00,V17456,dropoff
2015-02-01 07:54:00+00,V19484,dropoff
2015-02-01 07:54:00+00,V20621,pickup
2015-02-01 07:55:00+00,V16477,dropoff
2015-02-01 07:55:00+00,V16833,dropoff
2015-02-01 07:55:00+00,V19067,pickup
